ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050953	sensory perception of light stimulus	11/183	165/23328	7.90789204847571e-08	0.000208926507920728	0.000189789409163417	Grm6/Rbp3/Rd3/Unc119/Atp8a2/Slc4a7/Cacna2d4/Whrn/Tulp1/Pcdh15/Aipl1	11
GO:0001895	retina homeostasis	7/183	56/23328	2.7324167431406e-07	0.000360952251768873	0.000327890009176872	Prom1/Nphp4/Whrn/Tulp1/Tub/Pcdh15/Aipl1	7
GO:0060041	retina development in camera-type eye	10/183	172/23328	1.10228651112839e-06	0.000728060240600301	0.000661371906677033	Grm6/Nr2e3/Rd3/Atp8a2/Slc4a7/Prom1/Nphp4/Tulp1/Tub/Arl6	10
GO:0097499	protein localization to non-motile cilium	4/183	12/23328	1.72703145760769e-06	0.000912563422199901	0.000828975099651689	Arl13b/Tulp1/Tub/Arl6	4
GO:0009584	detection of visible light	5/183	32/23328	4.76939191599336e-06	0.00210012224034241	0.00190775676639734	Grm6/Atp8a2/Cacna2d4/Tulp1/Aipl1	5
GO:0050908	detection of light stimulus involved in visual perception	4/183	22/23328	2.40015006003026e-05	0.00670140542434204	0.00608757495019716	Grm6/Atp8a2/Cacna2d4/Tulp1	4
GO:0045542	positive regulation of cholesterol biosynthetic process	3/183	10/23328	5.47240388478775e-05	0.00903630691475577	0.00820860582718163	Abcg1/Por/Scap	3
GO:0106120	positive regulation of sterol biosynthetic process	3/183	10/23328	5.47240388478775e-05	0.00903630691475577	0.00820860582718163	Abcg1/Por/Scap	3
GO:0090205	positive regulation of cholesterol metabolic process	3/183	11/23328	7.48111325427817e-05	0.0116265301281194	0.0105615716530986	Abcg1/Por/Scap	3
GO:0009582	detection of abiotic stimulus	7/183	132/23328	8.4191982135928e-05	0.01190971563032	0.0108188181350371	Grm6/Atp8a2/Cacna2d4/Whrn/Tulp1/Pcdh15/Aipl1	7
GO:0009581	detection of external stimulus	7/183	133/23328	8.82880827391243e-05	0.01190971563032	0.0108188181350371	Grm6/Atp8a2/Cacna2d4/Whrn/Tulp1/Pcdh15/Aipl1	7
GO:1902932	positive regulation of alcohol biosynthetic process	4/183	31/23328	9.77012806107514e-05	0.01190971563032	0.0108188181350371	Abcg1/Por/Scap/Plcd1	4
GO:0072697	protein localization to cell cortex	3/183	12/23328	9.9172499571173e-05	0.01190971563032	0.0108188181350371	Epb41/Mex3b/Epb41l2	3
GO:0016125	sterol metabolic process	7/183	139/23328	0.000116414967523303	0.012815347674857	0.0116414967523303	Abcg1/Por/Scap/Cyp26c1/Scarb1/Acadvl/Ebpl	7
GO:0030808	regulation of nucleotide biosynthetic process	4/183	34/23328	0.000141381673303844	0.0133403707453127	0.0121184291403295	Rd3/Nos3/Flcn/Bcl2l1	4
GO:1900371	regulation of purine nucleotide biosynthetic process	4/183	34/23328	0.000141381673303844	0.0133403707453127	0.0121184291403295	Rd3/Nos3/Flcn/Bcl2l1	4
GO:0051606	detection of stimulus	9/183	247/23328	0.000152067349152575	0.0138538598779691	0.0125848840677993	Grm6/Atp8a2/Scarb1/Cacna2d4/Whrn/Tulp1/Pcdh15/Aipl1/Cadm1	9
GO:0019048	modulation by virus of host process	3/183	17/23328	0.000297798549459675	0.0253801215378213	0.0230553715710716	Rraga/Cd4/Bcl2l1	3
GO:0060563	neuroepithelial cell differentiation	5/183	78/23328	0.000373657647472098	0.0308501095194151	0.0280243235604073	Slc4a7/Whrn/Jag1/Pcdh15/Ascl1	5
GO:0046530	photoreceptor cell differentiation	5/183	84/23328	0.000526137984116521	0.0397159015438814	0.0360780331965614	Nr2e3/Slc4a7/Prom1/Nphp4/Tulp1	5
GO:0062012	regulation of small molecule metabolic process	10/183	358/23328	0.000554098275555	0.0406646567782308	0.036939885037	Abcg1/Por/Scap/Rd3/Acadvl/Nos3/Flcn/C1qtnf12/Bcl2l1/Plcd1	10
GO:0010842	retina layer formation	3/183	22/23328	0.000655242869475377	0.0467878827338904	0.0425022401821866	Atp8a2/Prom1/Arl6	3
